source_id,platform,url,source_type,observed_on,status,evidence_summary,public_safe_note
uspto_99910284,USPTO TSDR,https://tsdr.uspto.gov/#caseNumber=99910284&caseSearchType=US_APPLICATION&caseType=DEFAULT&searchType=statusSearch,trademark_status,2026-07-10,verified_live_application,"VERIFIABLE ROOF; US Serial Number 99910284; filed June 28 2026; service mark; Principal Register; live application awaiting examination; class 035 business project management services for construction projects.","Personal address/contact fields from TSDR are intentionally omitted."
github_atlas,GitHub,https://github.com/RichNass87/inspector-roofing-atlas-query-intelligence,repository,2026-07-10,verified_public_source_spine,"Public repository references Verifiable Roof(TM) as pending USPTO Serial No. 99910284 and includes source-spine data, app, schemas, and publishing metadata.","Use as related evidence, not as a dedicated Verifiable Roof repository."
github_search_integrity,GitHub,https://github.com/RichNass87/inspector-roofing-search-integrity-report,repository,2026-07-10,verified_public_source_spine,"Public repository for the Roofing Search Integrity Report; related Zenodo metadata mentions Verifiable Roof and links this record stack.","Use as related evidence."
huggingface_atlas_dataset,Hugging Face,https://huggingface.co/datasets/InspectorRoofing/inspector-roofing-atlas-query-intelligence,dataset,2026-07-10,verified_public_source_spine,"Dataset card references Verifiable Roof(TM), pending USPTO Serial No. 99910284, GitHub, Zenodo, and related source-spine links.","Viewer warning observed on current dataset; this package provides clean CSV/JSON tables for a dedicated dataset."
huggingface_atlas_space,Hugging Face,https://huggingface.co/spaces/InspectorRoofing/inspector-roofing-atlas-query-intelligence-demo,space,2026-07-10,verified_running,"Existing Hugging Face Space is running and related to the Atlas query-intelligence source-spine.","Use as related app evidence."
zenodo_21042531,Zenodo,https://doi.org/10.5281/zenodo.21042531,doi_record,2026-07-10,verified_public_record,"Technical note DOI record mentions Verifiable Roof(TM), pending USPTO Serial No. 99910284, and related GitHub/Hugging Face/site records.","Existing DOI evidence; do not imply it is a dedicated Verifiable Roof DOI."
zenodo_21013082,Zenodo,https://doi.org/10.5281/zenodo.21013082,doi_record,2026-07-10,verified_public_record,"Earlier technical note DOI record mentions Verifiable Roof(TM), pending USPTO Serial No. 99910284, and related source-spine records.","Existing DOI evidence; do not imply it is the latest version."
zenodo_21045292,Zenodo,https://doi.org/10.5281/zenodo.21045292,doi_record,2026-07-10,verified_public_record,"The Roofing Search Integrity Report dataset DOI includes Verifiable Roof in description/keywords and links related source-spine assets.","Existing DOI evidence; related record."
site_home,Inspector Roofing Site,https://inspector-roofing.com/,website,2026-07-10,verified_live,"Homepage returned HTTP 200 after redirect from /ip/ during public header check.","Homepage is live; content-level IP claims should be separately reviewed before citing."
site_atlas_study,Inspector Roofing Site,https://inspector-roofing.com/atlas-query-intelligence-study/,website,2026-07-10,verified_live,"Atlas study page returned HTTP 200 during public header check.","Use as related site evidence."
exact_github_search,GitHub API,https://api.github.com/search/repositories?q=%22Verifiable%20Roof%22,repository_search,2026-07-10,no_exact_match,"Public GitHub repository search for exact phrase returned total_count 0 before creation of a dedicated repo.","This does not negate related GitHub evidence in existing source-spine repositories."
exact_hf_dataset_search,Hugging Face API,https://huggingface.co/api/datasets?search=Verifiable%20Roof,dataset_search,2026-07-10,no_exact_match,"Public Hugging Face dataset API search for Verifiable Roof returned an empty list before creation of a dedicated dataset.","This does not negate related Hugging Face evidence in existing Atlas records."
exact_hf_space_search,Hugging Face API,https://huggingface.co/api/spaces?search=Verifiable%20Roof,space_search,2026-07-10,no_exact_match,"Public Hugging Face Spaces API search for Verifiable Roof returned an empty list before creation of a dedicated Space.","This does not negate related Hugging Face Space evidence."
